City,state_id,State full,County
New York,NY,New York,Queens
Los Angeles,CA,California,Los Angeles
Chicago,IL,Illinois,Cook
Miami,FL,Florida,Miami-Dade
Houston,TX,Texas,Harris
Dallas,TX,Texas,Dallas
Philadelphia,PA,Pennsylvania,Philadelphia
Atlanta,GA,Georgia,Fulton
Washington,DC,District of Columbia,District of Columbia
Boston,MA,Massachusetts,Suffolk
Phoenix,AZ,Arizona,Maricopa
Detroit,MI,Michigan,Wayne
Seattle,WA,Washington,King
San Francisco,CA,California,San Francisco
San Diego,CA,California,San Diego
Minneapolis,MN,Minnesota,Hennepin
Tampa,FL,Florida,Hillsborough
Brooklyn,NY,New York,Kings
Denver,CO,Colorado,Denver
Queens,NY,New York,Queens
Riverside,CA,California,Riverside
Las Vegas,NV,Nevada,Clark
Baltimore,MD,Maryland,Baltimore
St. Louis,MO,Missouri,St. Louis
Portland,OR,Oregon,Multnomah
San Antonio,TX,Texas,Bexar
Sacramento,CA,California,Sacramento
Austin,TX,Texas,Travis
Orlando,FL,Florida,Orange
San Juan,PR,Puerto Rico,San Juan
San Jose,CA,California,Santa Clara
Pittsburgh,PA,Pennsylvania,Allegheny
Indianapolis,IN,Indiana,Marion
Manhattan,NY,New York,New York
Cincinnati,OH,Ohio,Hamilton
Kansas City,MO,Missouri,Jackson
Cleveland,OH,Ohio,Cuyahoga
Columbus,OH,Ohio,Franklin
Bronx,NY,New York,Bronx
Virginia Beach,VA,Virginia,Virginia Beach
Charlotte,NC,North Carolina,Mecklenburg
Milwaukee,WI,Wisconsin,Milwaukee
Providence,RI,Rhode Island,Providence
Jacksonville,FL,Florida,Duval
Nashville,TN,Tennessee,Davidson
Salt Lake City,UT,Utah,Salt Lake
Raleigh,NC,North Carolina,Wake
Richmond,VA,Virginia,Richmond
Memphis,TN,Tennessee,Shelby
Oklahoma City,OK,Oklahoma,Oklahoma
Hartford,CT,Connecticut,Capitol
Louisville,KY,Kentucky,Jefferson
Buffalo,NY,New York,Erie
New Orleans,LA,Louisiana,Orleans
Fort Worth,TX,Texas,Tarrant
Bridgeport,CT,Connecticut,Greater Bridgeport
Tucson,AZ,Arizona,Pima
El Paso,TX,Texas,El Paso
Omaha,NE,Nebraska,Douglas
McAllen,TX,Texas,Hidalgo
Birmingham,AL,Alabama,Jefferson
Albuquerque,NM,New Mexico,Bernalillo
Tulsa,OK,Oklahoma,Tulsa
Fresno,CA,California,Fresno
Charleston,SC,South Carolina,Charleston
Rochester,NY,New York,Monroe
Dayton,OH,Ohio,Montgomery
Cape Coral,FL,Florida,Lee
Mission Viejo,CA,California,Orange
Colorado Springs,CO,Colorado,El Paso
Baton Rouge,LA,Louisiana,East Baton Rouge
Allentown,PA,Pennsylvania,Lehigh
Ogden,UT,Utah,Weber
Provo,UT,Utah,Utah
Knoxville,TN,Tennessee,Knox
Grand Rapids,MI,Michigan,Kent
Columbia,SC,South Carolina,Richland
Albany,NY,New York,Albany
Bakersfield,CA,California,Kern
New Haven,CT,Connecticut,South Central Connecticut
Des Moines,IA,Iowa,Polk
Akron,OH,Ohio,Summit
Palm Bay,FL,Florida,Brevard
Concord,CA,California,Contra Costa
Wichita,KS,Kansas,Sedgwick
Mesa,AZ,Arizona,Maricopa
Harrisburg,PA,Pennsylvania,Dauphin
Staten Island,NY,New York,Richmond
Toledo,OH,Ohio,Lucas
Worcester,MA,Massachusetts,Worcester
Long Beach,CA,California,Los Angeles
Port St. Lucie,FL,Florida,St. Lucie
Little Rock,AR,Arkansas,Pulaski
Reno,NV,Nevada,Washoe
Spokane,WA,Washington,Spokane
Madison,WI,Wisconsin,Dane
Boise,ID,Idaho,Ada
Bonita Springs,FL,Florida,Lee
Denton,TX,Texas,Denton
Oakland,CA,California,Alameda
Springfield,MA,Massachusetts,Hampden
Augusta,GA,Georgia,Richmond
Kissimmee,FL,Florida,Osceola
Winston-Salem,NC,North Carolina,Forsyth
Stockton,CA,California,San Joaquin
Syracuse,NY,New York,Onondaga
Chattanooga,TN,Tennessee,Hamilton
Lancaster,PA,Pennsylvania,Lancaster
Greenville,SC,South Carolina,Greenville
Durham,NC,North Carolina,Durham
Pensacola,FL,Florida,Escambia
Fayetteville,AR,Arkansas,Washington
Arlington,TX,Texas,Tarrant
Aurora,CO,Colorado,Arapahoe
Oxnard,CA,California,Ventura
Indio,CA,California,Riverside
Scranton,PA,Pennsylvania,Lackawanna
Victorville,CA,California,San Bernardino
Trenton,NJ,New Jersey,Mercer
Modesto,CA,California,Stanislaus
Huntsville,AL,Alabama,Madison
Honolulu,HI,Hawaii,Honolulu
Greensboro,NC,North Carolina,Guilford
Anaheim,CA,California,Orange
Corpus Christi,TX,Texas,Nueces
Fort Wayne,IN,Indiana,Allen
Fort Collins,CO,Colorado,Larimer
Jackson,MS,Mississippi,Hinds
Myrtle Beach,SC,South Carolina,Horry
Fayetteville,NC,North Carolina,Cumberland
Antioch,CA,California,Contra Costa
Lansing,MI,Michigan,Ingham
Lexington,KY,Kentucky,Fayette
Mobile,AL,Alabama,Mobile
Youngstown,OH,Ohio,Mahoning
Henderson,NV,Nevada,Clark
Savannah,GA,Georgia,Chatham
Poughkeepsie,NY,New York,Dutchess
Santa Ana,CA,California,Orange
Ann Arbor,MI,Michigan,Washtenaw
St. Paul,MN,Minnesota,Ramsey
Newark,NJ,New Jersey,Essex
Irvine,CA,California,Orange
Santa Rosa,CA,California,Sonoma
Canton,OH,Ohio,Stark
Asheville,NC,North Carolina,Buncombe
Flint,MI,Michigan,Genesee
Winter Haven,FL,Florida,Polk
Anchorage,AK,Alaska,Anchorage
Lincoln,NE,Nebraska,Lancaster
Concord,NC,North Carolina,Cabarrus
Jersey City,NJ,New Jersey,Hudson
Springfield,MO,Missouri,Greene
Plano,TX,Texas,Collin
Shreveport,LA,Louisiana,Caddo
Davenport,IA,Iowa,Scott
Lubbock,TX,Texas,Lubbock
Lakeland,FL,Florida,Polk
South Bend,IN,Indiana,St. Joseph
Chula Vista,CA,California,San Diego
Chandler,AZ,Arizona,Maricopa
Rockford,IL,Illinois,Winnebago
Reading,PA,Pennsylvania,Berks
Eugene,OR,Oregon,Lane
Wilmington,NC,North Carolina,New Hanover
Santa Clarita,CA,California,Los Angeles
Gilbert,AZ,Arizona,Maricopa
Salem,OR,Oregon,Marion
Killeen,TX,Texas,Bell
Round Lake Beach,IL,Illinois,Lake
Columbus,GA,Georgia,Muscogee
North Las Vegas,NV,Nevada,Clark
Kennewick,WA,Washington,Benton
St. Petersburg,FL,Florida,Pinellas
Tallahassee,FL,Florida,Leon
Laredo,TX,Texas,Webb
Irving,TX,Texas,Dallas
Peoria,IL,Illinois,Peoria
Montgomery,AL,Alabama,Montgomery
Chesapeake,VA,Virginia,Chesapeake
Glendale,AZ,Arizona,Maricopa
York,PA,Pennsylvania,York
Nashua,NH,New Hampshire,Hillsborough
Garland,TX,Texas,Dallas
Scottsdale,AZ,Arizona,Maricopa
Lafayette,LA,Louisiana,Lafayette
Norfolk,VA,Virginia,Norfolk
Arlington,VA,Virginia,Arlington
Appleton,WI,Wisconsin,Outagamie
Aguadilla,PR,Puerto Rico,Aguadilla
Rock Hill,SC,South Carolina,York
Fremont,CA,California,Alameda
Fargo,ND,North Dakota,Cass
Gulfport,MS,Mississippi,Harrison
Bremerton,WA,Washington,Kitsap
Green Bay,WI,Wisconsin,Brown
Enterprise,NV,Nevada,Clark
Hialeah,FL,Florida,Miami-Dade
Deltona,FL,Florida,Volusia
San Bernardino,CA,California,San Bernardino
Gainesville,FL,Florida,Alachua
Spring Valley,NV,Nevada,Clark
Tacoma,WA,Washington,Pierce
Roanoke,VA,Virginia,Roanoke
Brownsville,TX,Texas,Cameron
College Station,TX,Texas,Brazos
Olympia,WA,Washington,Thurston
Clarksville,TN,Tennessee,Montgomery
Yonkers,NY,New York,Westchester
Moreno Valley,CA,California,Riverside
Thousand Oaks,CA,California,Ventura
Portland,ME,Maine,Cumberland
Fontana,CA,California,San Bernardino
Hickory,NC,North Carolina,Catawba
Amarillo,TX,Texas,Potter
Sioux Falls,SD,South Dakota,Minnehaha
Evansville,IN,Indiana,Vanderburgh
Huntington,WV,West Virginia,Cabell
Waterbury,CT,Connecticut,Naugatuck Valley
Frisco,TX,Texas,Collin
Lorain,OH,Ohio,Lorain
Kalamazoo,MI,Michigan,Kalamazoo
Galveston,TX,Texas,Galveston
Spartanburg,SC,South Carolina,Spartanburg
Santa Barbara,CA,California,Santa Barbara
Sunrise Manor,NV,Nevada,Clark
Huntington Beach,CA,California,Orange
Grand Prairie,TX,Texas,Dallas
Overland Park,KS,Kansas,Johnson
McKinney,TX,Texas,Collin
Waco,TX,Texas,McLennan
Hagerstown,MD,Maryland,Washington
Glendale,CA,California,Los Angeles
Nampa,ID,Idaho,Canyon
Peoria,AZ,Arizona,Maricopa
Cedar Rapids,IA,Iowa,Linn
Vancouver,WA,Washington,Clark
Paradise,NV,Nevada,Clark
Ocala,FL,Florida,Marion
Erie,PA,Pennsylvania,Erie
Newport News,VA,Virginia,Newport News
Frederick,MD,Maryland,Frederick
Murfreesboro,TN,Tennessee,Rutherford
Fort Lauderdale,FL,Florida,Broward
Aurora,IL,Illinois,Kane
Tempe,AZ,Arizona,Maricopa
Danbury,CT,Connecticut,Western Connecticut
Spring Hill,FL,Florida,Hernando
Gastonia,NC,North Carolina,Gaston
Salinas,CA,California,Monterey
Fredericksburg,VA,Virginia,Fredericksburg
Ontario,CA,California,San Bernardino
Elk Grove,CA,California,Sacramento
Gainesville,GA,Georgia,Hall
Cary,NC,North Carolina,Wake
Rancho Cucamonga,CA,California,San Bernardino
Oceanside,CA,California,San Diego
Garden Grove,CA,California,Orange
Lancaster,CA,California,Los Angeles
Hemet,CA,California,Riverside
Pembroke Pines,FL,Florida,Broward
Panama City,FL,Florida,Bay
Vallejo,CA,California,Solano
Manchester,NH,New Hampshire,Hillsborough
Medford,OR,Oregon,Jackson
Bayamón,PR,Puerto Rico,Bayamón
Mauldin,SC,South Carolina,Greenville
Santa Cruz,CA,California,Santa Cruz
Palmdale,CA,California,Los Angeles
Norwich,CT,Connecticut,Southeastern Connecticut
Muskegon,MI,Michigan,Muskegon
Leesburg,FL,Florida,Lake
High Point,NC,North Carolina,Guilford
Tuscaloosa,AL,Alabama,Tuscaloosa
Visalia,CA,California,Tulare
Marysville,WA,Washington,Snohomish
Merced,CA,California,Merced
Hayward,CA,California,Alameda
Lafayette,IN,Indiana,Tippecanoe
Springfield,IL,Illinois,Sangamon
Corona,CA,California,Riverside
Paterson,NJ,New Jersey,Passaic
Alexandria,VA,Virginia,Alexandria
Macon,GA,Georgia,Bibb
Binghamton,NY,New York,Broome
Lakewood,CO,Colorado,Jefferson
Kansas City,KS,Kansas,Wyandotte
Odessa,TX,Texas,Ector
Sunnyvale,CA,California,Santa Clara
New Bedford,MA,Massachusetts,Bristol
Hollywood,FL,Florida,Broward
South Lyon,MI,Michigan,Oakland
Escondido,CA,California,San Diego
Lake Charles,LA,Louisiana,Calcasieu
Pasadena,TX,Texas,Harris
Bellevue,WA,Washington,King
Joliet,IL,Illinois,Will
Champaign,IL,Illinois,Champaign
Pomona,CA,California,Los Angeles
Fairfield,CA,California,Solano
Mesquite,TX,Texas,Dallas
Elkhart,IN,Indiana,Elkhart
Naperville,IL,Illinois,DuPage
St. George,UT,Utah,Washington
Roseville,CA,California,Placer
Topeka,KS,Kansas,Shawnee
Burlington,NC,North Carolina,Alamance
Warner Robins,GA,Georgia,Houston
Surprise,AZ,Arizona,Maricopa
Torrance,CA,California,Los Angeles
Santa Maria,CA,California,Santa Barbara
Athens,GA,Georgia,Clarke
Houma,LA,Louisiana,Terrebonne
Columbia,MO,Missouri,Boone
Fullerton,CA,California,Orange
Olathe,KS,Kansas,Johnson
Thornton,CO,Colorado,Adams
Greeley,CO,Colorado,Weld
Beaumont,TX,Texas,Jefferson
Las Cruces,NM,New Mexico,Doña Ana
Midland,TX,Texas,Midland
Metairie,LA,Louisiana,Jefferson
Carolina,PR,Puerto Rico,Carolina
West Valley City,UT,Utah,Salt Lake
Orange,CA,California,Orange
Warren,MI,Michigan,Macomb
Grand Junction,CO,Colorado,Mesa
Tyler,TX,Texas,Smith
Pasadena,CA,California,Los Angeles
Hampton,VA,Virginia,Hampton
Bloomington,IL,Illinois,McLean
Elizabeth,NJ,New Jersey,Union
Stamford,CT,Connecticut,Western Connecticut
Yuma,AZ,Arizona,Yuma
Kent,WA,Washington,King
Miramar,FL,Florida,Broward
Coeur d'Alene,ID,Idaho,Kootenai
Coral Springs,FL,Florida,Broward
Sterling Heights,MI,Michigan,Macomb
Yuba City,CA,California,Sutter
Yakima,WA,Washington,Yakima
Carrollton,TX,Texas,Dallas
Racine,WI,Wisconsin,Racine
Johnson City,TN,Tennessee,Washington
Billings,MT,Montana,Yellowstone
Iowa City,IA,Iowa,Johnson
Dover,DE,Delaware,Kent
Bellingham,WA,Washington,Whatcom
Charleston,WV,West Virginia,Kanawha
Lynchburg,VA,Virginia,Lynchburg
Santa Clara,CA,California,Santa Clara
Norman,OK,Oklahoma,Cleveland
Greenville,NC,North Carolina,Pitt
Simi Valley,CA,California,Ventura
Fort Smith,AR,Arkansas,Sebastian
Abilene,TX,Texas,Taylor
Arecibo,PR,Puerto Rico,Arecibo
Lewisville,TX,Texas,Denton
Pearland,TX,Texas,Brazoria
Lehigh Acres,FL,Florida,Lee
Kenosha,WI,Wisconsin,Kenosha
Seaside,CA,California,Monterey
Burlington,VT,Vermont,Chittenden
Arvada,CO,Colorado,Jefferson
Waldorf,MD,Maryland,Charles
Independence,MO,Missouri,Jackson
Rochester,MN,Minnesota,Olmsted
Logan,UT,Utah,Cache
Harlingen,TX,Texas,Cameron
Berkeley,CA,California,Alameda
Clovis,CA,California,Fresno
Round Rock,TX,Texas,Williamson
Pueblo,CO,Colorado,Pueblo
Temple,TX,Texas,Bell
Meridian,ID,Idaho,Ada
Duluth,MN,Minnesota,St. Louis
The Woodlands,TX,Texas,Montgomery
Boulder,CO,Colorado,Boulder
Richardson,TX,Texas,Dallas
Cambridge,MA,Massachusetts,Middlesex
West Palm Beach,FL,Florida,Palm Beach
Port Arthur,TX,Texas,Jefferson
East Los Angeles,CA,California,Los Angeles
Redding,CA,California,Shasta
Clearwater,FL,Florida,Pinellas
Monroe,LA,Louisiana,Ouachita
Utica,NY,New York,Oneida
St. Cloud,MN,Minnesota,Stearns
Mandeville,LA,Louisiana,St. Tammany
West Jordan,UT,Utah,Salt Lake
North Charleston,SC,South Carolina,Charleston
Richmond,CA,California,Contra Costa
Westminster,CO,Colorado,Adams
Saginaw,MI,Michigan,Saginaw
Kailua,HI,Hawaii,Honolulu
Brandon,FL,Florida,Hillsborough
Ponce,PR,Puerto Rico,Ponce
Carlsbad,CA,California,San Diego
Lowell,MA,Massachusetts,Middlesex
Broken Arrow,OK,Oklahoma,Tulsa
Elgin,IL,Illinois,Kane
Gresham,OR,Oregon,Multnomah
League City,TX,Texas,Galveston
Downey,CA,California,Los Angeles
Waterloo,IA,Iowa,Black Hawk
Murrieta,CA,California,Riverside
Leominster,MA,Massachusetts,Worcester
Longview,TX,Texas,Gregg
Jacksonville,NC,North Carolina,Onslow
Pompano Beach,FL,Florida,Broward
Bend,OR,Oregon,Deschutes
Miami Gardens,FL,Florida,Miami-Dade
Costa Mesa,CA,California,Orange
Sioux City,IA,Iowa,Woodbury
Everett,WA,Washington,Snohomish
Gilroy,CA,California,Santa Clara
San Buenaventura,CA,California,Ventura
Temecula,CA,California,Riverside
Sugar Land,TX,Texas,Fort Bend
Chico,CA,California,Butte
Eau Claire,WI,Wisconsin,Eau Claire
El Monte,CA,California,Los Angeles
Idaho Falls,ID,Idaho,Bonneville
Dearborn,MI,Michigan,Wayne
Bloomington,IN,Indiana,Monroe
West Covina,CA,California,Los Angeles
Sparks,NV,Nevada,Washoe
South Fulton,GA,Georgia,Fulton
Centennial,CO,Colorado,Arapahoe
Sandy Springs,GA,Georgia,Fulton
Inglewood,CA,California,Los Angeles
Hillsboro,OR,Oregon,Washington
Columbia,MD,Maryland,Howard
Burbank,CA,California,Los Angeles
Davie,FL,Florida,Broward
El Cajon,CA,California,San Diego
Jurupa Valley,CA,California,Riverside
Allen,TX,Texas,Collin
Auburn,AL,Alabama,Lee
Renton,WA,Washington,King
Holland,MI,Michigan,Ottawa
Brockton,MA,Massachusetts,Plymouth
Rio Rancho,NM,New Mexico,Sandoval
San Mateo,CA,California,San Mateo
Rialto,CA,California,San Bernardino
Spokane Valley,WA,Washington,Spokane
Charlottesville,VA,Virginia,Charlottesville
Menifee,CA,California,Riverside
Daly City,CA,California,San Mateo
Wichita Falls,TX,Texas,Wichita
Riverview,FL,Florida,Hillsborough
Norwalk,CA,California,Los Angeles
Lee's Summit,MO,Missouri,Jackson
Longmont,CO,Colorado,Boulder
Vacaville,CA,California,Solano
Highlands Ranch,CO,Colorado,Douglas
Kingsport,TN,Tennessee,Sullivan
San Tan Valley,AZ,Arizona,Pinal
Quincy,MA,Massachusetts,Norfolk
Edinburg,TX,Texas,Hidalgo
Lynn,MA,Massachusetts,Essex
San Angelo,TX,Texas,Tom Green
Hesperia,CA,California,San Bernardino
Bowling Green,KY,Kentucky,Warren
Federal Way,WA,Washington,King
Carmel,IN,Indiana,Hamilton
Bismarck,ND,North Dakota,Burleigh
Fishers,IN,Indiana,Hamilton
Lafayette,CO,Colorado,Boulder
Vista,CA,California,San Diego
Boca Raton,FL,Florida,Palm Beach
St. Augustine,FL,Florida,St. Johns
Beaverton,OR,Oregon,Washington
Goodyear,AZ,Arizona,Maricopa
Portsmouth,VA,Virginia,Portsmouth
Orem,UT,Utah,Utah
Sunrise,FL,Florida,Broward
Portsmouth,NH,New Hampshire,Rockingham
Arden-Arcade,CA,California,Sacramento
Lawrence,KS,Kansas,Douglas
Sandy,UT,Utah,Salt Lake
Slidell,LA,Louisiana,St. Tammany
Buckeye,AZ,Arizona,Maricopa
Livonia,MI,Michigan,Wayne
Williamsburg,VA,Virginia,Williamsburg
Suffolk,VA,Virginia,Suffolk
Compton,CA,California,Los Angeles
La Crosse,WI,Wisconsin,La Crosse
Edmond,OK,Oklahoma,Oklahoma
Carson,CA,California,Los Angeles
San Marcos,CA,California,San Diego
Tracy,CA,California,San Joaquin
Prescott Valley,AZ,Arizona,Yavapai
Middletown,OH,Ohio,Butler
Fall River,MA,Massachusetts,Bristol
San Germán,PR,Puerto Rico,San Germán
Santa Fe,NM,New Mexico,Santa Fe
Plantation,FL,Florida,Broward
Mayagüez,PR,Puerto Rico,Mayagüez
New Braunfels,TX,Texas,Comal
Roswell,GA,Georgia,Fulton
Conroe,TX,Texas,Montgomery
South Gate,CA,California,Los Angeles
Santa Monica,CA,California,Los Angeles
Kirkland,WA,Washington,King
Hoover,AL,Alabama,Jefferson
O'Fallon,MO,Missouri,St. Charles
Alafaya,FL,Florida,Orange
Palm Coast,FL,Florida,Flagler
Norwalk,CT,Connecticut,Western Connecticut
Lawton,OK,Oklahoma,Comanche
Chino,CA,California,San Bernardino
Mount Pleasant,SC,South Carolina,Charleston
Manteca,CA,California,San Joaquin
Westminster,CA,California,Orange
Florence,SC,South Carolina,Florence
Joplin,MO,Missouri,Jasper
Germantown,MD,Maryland,Montgomery
San Leandro,CA,California,Alameda
Town 'n' Country,FL,Florida,Hillsborough
Clifton,NJ,New Jersey,Passaic
Waukegan,IL,Illinois,Lake
Bloomington,MN,Minnesota,Hennepin
Avondale,AZ,Arizona,Maricopa
Atascocita,TX,Texas,Harris
Missoula,MT,Montana,Missoula
Fort Myers,FL,Florida,Lee
Newton,MA,Massachusetts,Middlesex
Lawrence,MA,Massachusetts,Essex
Muncie,IN,Indiana,Delaware
Rapid City,SD,South Dakota,Pennington
Troy,MI,Michigan,Oakland
Livermore,CA,California,Alameda
Citrus Heights,CA,California,Sacramento
Hawthorne,CA,California,Los Angeles
Winchester,VA,Virginia,Winchester
Springdale,AR,Arkansas,Washington
Whittier,CA,California,Los Angeles
Deerfield Beach,FL,Florida,Broward
Decatur,IL,Illinois,Macon
San Ramon,CA,California,Contra Costa
Vineland,NJ,New Jersey,Cumberland
Mission,TX,Texas,Hidalgo
Auburn,WA,Washington,King
Lake Forest,CA,California,Orange
Newport Beach,CA,California,Orange
Melbourne,FL,Florida,Brevard
Brooklyn Park,MN,Minnesota,Hennepin
Bryan,TX,Texas,Brazos
Westland,MI,Michigan,Wayne
Napa,CA,California,Napa
Baytown,TX,Texas,Harris
Cicero,IL,Illinois,Cook
Anderson,IN,Indiana,Madison
Franklin,TN,Tennessee,Williamson
Farmington Hills,MI,Michigan,Oakland
Buena Park,CA,California,Orange
Albany,GA,Georgia,Dougherty
Pine Hills,FL,Florida,Orange
State College,PA,Pennsylvania,Centre
Redwood City,CA,California,San Mateo
Warwick,RI,Rhode Island,Kent
Jackson,MI,Michigan,Jackson
Cranston,RI,Rhode Island,Providence
Largo,FL,Florida,Pinellas
Miami Beach,FL,Florida,Miami-Dade
Alhambra,CA,California,Los Angeles
Johns Creek,GA,Georgia,Fulton
Mountain View,CA,California,Santa Clara
Salisbury,MD,Maryland,Wicomico
Morgantown,WV,West Virginia,Monongalia
Silver Spring,MD,Maryland,Montgomery
Layton,UT,Utah,Davis
Springfield,OH,Ohio,Clark
Lakewood,CA,California,Los Angeles
Florence,AL,Alabama,Lauderdale
Folsom,CA,California,Sacramento
Madera,CA,California,Madera
New Rochelle,NY,New York,Westchester
Parma,OH,Ohio,Cuyahoga
Terre Haute,IN,Indiana,Vigo
Somerville,MA,Massachusetts,Middlesex
Flagstaff,AZ,Arizona,Coconino
Boynton Beach,FL,Florida,Palm Beach
Homestead,FL,Florida,Miami-Dade
Newark,OH,Ohio,Licking
Plymouth,MN,Minnesota,Hennepin
Anniston,AL,Alabama,Calhoun
Texarkana,TX,Texas,Bowie
Tustin,CA,California,Orange
Pharr,TX,Texas,Hidalgo
